Word,Document Frequency,Term Frequency,Postings
algorithm,34,51,"['MAT 2141', 'MAT 5181', 'MAT 5341', 'CSI 1306', 'CSI 1308', 'CSI 1390', 'CSI 2101', 'CSI 2110', 'CSI 3105', 'CSI 4105', 'CSI 4109', 'CSI 4140', 'CSI 4145', 'CSI 4150', 'CSI 5102', 'CSI 5106', 'CSI 5124', 'CSI 5126', 'CSI 5127', 'CSI 5128', 'CSI 5131', 'CSI 5134', 'CSI 5149', 'CSI 5154', 'CSI 5155', 'CSI 5163', 'CSI 5164', 'CSI 5165', 'CSI 5166', 'CSI 5168', 'CSI 5183', 'CSI 5308', 'CSI 5311', 'CSI 5387']"
align,3,3,"['ADM 4339', 'CSI 4126', 'CSI 5126']"
alloc,5,5,"['ADM 2302', 'ADM 2341', 'ADM 4339', 'ADM 6340', 'CSI 5128']"
allow,3,4,"['ADM 6316', 'ADM 6343', 'PSY 4310']"
alreadi,1,1,['PSY 4310']
also,5,5,"['ADM 3318', 'ADM 3349', 'ADM 4340', 'ADM 4363', 'MAT 1325']"
altern,3,3,"['ADM 3379', 'ADM 4356', 'ADM 6324']"
altruism,1,1,['PSY 4174']
amidst,1,1,['CSI 5164']
among,4,4,"['ADM 4355', 'PSY 3126', 'PSY 4105', 'MAT 4124']"
analys,4,5,"['PSY 5120', 'PSY 6042', 'PSY 6105', 'PSY 6202']"
